,Ques,Ans
2410,What USB version is Windows 8 compatible with?,3.0
2411,What services does the Windows Store provide?,an online store for downloading and purchasing new software
2412,What can be found on the Start screen?,displays programs and dynamically updated content on a grid of tiles
2413,How wide is Swaziland in miles??,81 mi
2414,What is the primary language spoken by the people in Swaziland?,siSwati
2415,In terms of size where does Swaziland rank within Africa in terms of country size?,one of the smallest
2416,When did the ethnic Swazis establish a kingdom?,mid-18th century
2417,Who was the leader of the 18th century Swazi kingdom?,Ngwane III
2418,What Latin word does the English word translation come from?,translatio
2419,"What languages use equivalents of the English term ""translation"" that come from the same Latin source?",Romance
2420,What does Latin's traducere mean in English?,"""to lead across"""
2421,Slavic and Germanic languages also use a similar loanword from what source?,Latin
2422,"What does the Dutch word ""vertaling"" roughly translate to?","""re-language-ing"""
2423,What is an aerodome with facilities for flights to take off and land?,airport
2424,What is an aerially accessible open space that includes at least one active surface such as a runway or a helipad?,landing area
2425,What is an airport?,aerodrome with facilities for flights to take off and land
2426,What year was Kievan Rus became a territory?,882
2427,Who achieve the first major expansion of Kievan?,Kiev. Sviatoslav I
2428,Who was the ruler at the begining of Kievan?,Prince Oleg
2429,Which ruler introduced Christianity in Kievan Rus?,Vladimir the Great
2430,What did Yaroslav sons achieve  during his time in Keivan Rus?,issued its first written legal code
2431,When was the SNES released in the US?,1991
2432,Where was the SNES first released?,Japan and South Korea
2433,What was the SNES called in Japan?,Super Famicom
2434,What was the SNES called in South Korea?,Super Comboy
2435,When was the SNES released in Australia?,1992
2436,Some scholars contest that there was only one what?,substrate language
2437,Who do some scholars think the Sumerian language originally belonged to?,hunter and fisher peoples
2438,Where did the original Sumerians live?,marshland
2439,What culture did the peoples who would be called Sumerian have a part in?,Arabian bifacial
2440,When were the earliest historical records of Sumer?,26th century BC
2441,What is the previous name of Tuvalu?,Ellice Islands
2442,In which ocean is Tuvalu found?,Pacific Ocean
2443,Between what land areas is Tuvalu located?,Hawaii and Australia
2444,"According the the 2012 census, how many people live on the Tuvalu islands?","10,640"
2445,What originally formed the Tuvalu islands?,reef
2446,What is the Immaculate Conception a representation of the avoidance of ?,original sin only
2447,What was Mary prevented from having to endure ?,"Mary was preserved from any stain (in Latin, macula or labes"
2448,Who was believed to have prevented this from occurring to Mary ?,"privilege granted by Almighty God, in view of the merits of Jesus Christ, the Saviour of the human race, was preserved free from all stain"
2449,What was the outcome of preventing Mary from having to endure such an injustice ?,"Jesus Christ, the Saviour of the human race, was preserved free from all stain of original sin."""
2450,What normally followed the delivery of a child by a woman in Mary time period ?,sanctifying grace that would normally come with baptism after birth.
2451,What is the cost of primary and secondary education in Namibia?,free
2452,How many Namibian students were recorded in 1998 in primary school? ,"400,325"
2453,How many Namibian students were recorded in 1998 in secondary schools?,"115,237"
2454,What was the pupil-teacher ratio in Namibia in 1999?,32:1
2455,What develops the curriculum as well as other educational resources in Namibia?,National Institute for Educational Development
2456,What language sub-family is Russian in?,East Slavic
2457,Where is Russian an official language?,"Russia, Belarus, Kazakhstan, Kyrgyzstan and many minor or unrecognised territories"
2458,Where is Russian popular but not an official language?,"Ukraine, Latvia, Estonia"
2459,How many living East Slavic languages are there?,three
2460,When was the earliest writing in Old East Slavonic?,10th century
2461,What is the USAF?,the aerial warfare service branch of the United States Armed Forces
2462,How many uniformed services are there in the United States?,seven
2463,When did the USAF split from the US Army?,18 September 1947
2464,What act formed the USAF?,National Security Act of 1947
2465,What is one of the functions of the USAF?,Nuclear Deterrence Operations
2466,What type of atmosphere can LED lighting be used?,environmental
2467,What is an advantage to using LED lighting over the normal light sources?,longer lifetime
2468,What does LED stand for?,Light-emitting diodes
2469,Why are some people hesitant to use LED lighting?,more expensive
2470,What is a popular use for LED lighting?,traffic signals
2471,What is a group of endothermic vertebrates characterised by feathers and toothless beaked jaws?,Birds
2472,What is the smallest bird?,bee hummingbird
2473,What is the largest bird?,ostrich
2474,What is the size of the smallest bird?,5 cm (2 in)
2475,What is the size of the largest bird?,2.75 m (9 ft)
2476,What was the last Chinese dynasty?,"Great Qing, or the Manchu dynasty"
2477,When did the Manchu dynasty rule?,1644 to 1912
2478,What was the dynasty that ruled before the Manchu?,Ming
2479,What government took over from the Manchu dynasty?,Republic of China
2480,What is another name for the Manchu dynasty?,Qing
2481,Who are the indigenous people of the Americas descended from?,pre-Columbian inhabitants of the Americas
2482,What is a common term in Spanish speaking countries for the indigenous peoples?,Pueblos indígenas
2483,"In Quebec, The Guianas and places in the Caribbean where English is spoken, what is the preferred term for the indigenous people of the Americas?",Amerindian
2484,What term is used in Argentina to refer to the original peoples of a continent?,Aborigen
2485,How are the indigenous people most commonly referred to by citizens of the U.S.?,Native Americans
2486,What 2 continents meet at Egypt?,Africa and southwest corner of Asia
2487,What land bridge between Asian and Africa?,Sinai Peninsula
2488,How larger is Egypt?,"1,010,408 square kilometres"
2489,What Sea borders Egypt to the east?,Red Sea
2490,What country borders Egypt to the south?,Sudan
2491,What millennium did Mosaic start?,the 3rd millennium BC
2492,What kind of mosaic were made in Tiryns?,Pebble mosaics
2493,Who besides the Romans did the Jewish people get influenced by?,Byzantine
2494,When did mosaic fall out of fashion?,the Renaissance
2495,The Norman kingdomwas in what italian city state?,Sicily
